epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.367,1.39387,2.50762,1.65003,0.19147,0.27414,0.14086,0.06831,2.09901,3.91162,2.53862,0.000553653,0.000553653,0.000553653
2,206.093,1.60438,2.19008,1.83989,0.34379,0.35396,0.28128,0.1365,1.93311,2.95282,2.26206,0.00108186,0.00108186,0.00108186
3,306.05,1.57949,2.22043,1.84531,0.2332,0.24545,0.16252,0.066,2.16318,3.42143,2.48466,0.00158257,0.00158257,0.00158257
4,405.58,1.53398,2.13685,1.78493,0.39984,0.38724,0.36764,0.20587,1.7934,2.22464,2.09457,0.00154323,0.00154323,0.00154323
5,505.502,1.43966,1.96435,1.71024,0.62611,0.44881,0.4971,0.30302,1.54494,2.02474,1.93899,0.00150197,0.00150197,0.00150197
6,605.081,1.36814,1.81731,1.64879,0.59799,0.41453,0.4857,0.30613,1.57119,1.85779,1.92052,0.00146071,0.00146071,0.00146071
7,704.723,1.33355,1.74661,1.61856,0.66115,0.4783,0.57685,0.34108,1.47785,1.78677,1.81139,0.00141945,0.00141945,0.00141945
8,804.354,1.28327,1.64322,1.58511,0.66508,0.5413,0.60517,0.39031,1.43339,1.50908,1.78344,0.00137819,0.00137819,0.00137819
9,903.852,1.24766,1.59895,1.5536,0.68425,0.55685,0.63092,0.40463,1.36387,1.49944,1.70833,0.00133693,0.00133693,0.00133693
10,1003.23,1.23116,1.55084,1.5401,0.69448,0.57439,0.67259,0.43399,1.3254,1.42379,1.69021,0.00129568,0.00129568,0.00129568
11,1102.79,1.22154,1.50069,1.52843,0.76644,0.57712,0.68671,0.45645,1.26841,1.33456,1.61249,0.00125442,0.00125442,0.00125442
12,1202.24,1.20668,1.46069,1.50977,0.77142,0.62202,0.73218,0.48697,1.24094,1.24119,1.57292,0.00121316,0.00121316,0.00121316
13,1301.56,1.16311,1.42302,1.48062,0.75576,0.62758,0.72628,0.49497,1.19708,1.25397,1.55153,0.0011719,0.0011719,0.0011719
14,1401.11,1.13343,1.37864,1.47146,0.75811,0.64589,0.7333,0.48211,1.27122,1.2814,1.63487,0.00113064,0.00113064,0.00113064
15,1500.09,1.12331,1.34359,1.44826,0.77705,0.64584,0.75491,0.50951,1.22813,1.17555,1.58298,0.00108938,0.00108938,0.00108938
16,1599.23,1.11646,1.3214,1.44713,0.82014,0.65913,0.77933,0.53563,1.16523,1.09679,1.5241,0.00104813,0.00104813,0.00104813
17,1698.16,1.07858,1.27069,1.41423,0.82608,0.68657,0.80275,0.55447,1.14345,1.04788,1.5058,0.00100687,0.00100687,0.00100687
18,1797.37,1.07176,1.23488,1.40639,0.79707,0.66999,0.76424,0.53008,1.14661,1.14612,1.50746,0.00096561,0.00096561,0.00096561
19,1896.4,1.06611,1.22364,1.40652,0.80548,0.70381,0.79969,0.54948,1.16158,1.04955,1.52359,0.000924352,0.000924352,0.000924352
20,1995.27,1.06529,1.19894,1.40329,0.83442,0.69411,0.81219,0.55899,1.1434,1.01745,1.4955,0.000883093,0.000883093,0.000883093
21,2094.26,1.064,1.20469,1.39834,0.84209,0.739,0.83006,0.58426,1.10362,0.955,1.45773,0.000841835,0.000841835,0.000841835
22,2193.22,1.03149,1.14876,1.37486,0.83186,0.74064,0.83599,0.59202,1.09023,0.94099,1.43539,0.000800577,0.000800577,0.000800577
23,2292.14,1.02523,1.13569,1.37215,0.84492,0.72069,0.82368,0.57811,1.11714,0.96303,1.46834,0.000759318,0.000759318,0.000759318
24,2391.02,1.01987,1.12356,1.36298,0.84972,0.74814,0.8413,0.59053,1.07843,0.92355,1.42395,0.00071806,0.00071806,0.00071806
25,2489.87,1.01866,1.08446,1.35934,0.87208,0.72985,0.83776,0.59471,1.07351,0.92236,1.42289,0.000676802,0.000676802,0.000676802
